App,Review,Rating,Date,Price (?)
Ola,good,5,2026-03-30 00:00:00,72
Ola,on last ride driver asked me to pay the money to him as thr was a message on his screen to collect money from customer I paid him via UPI same amnt gt debited frm my ola postpaid. I called the driver he asked me to call cstmr care as he didn't get money from Ola I called them multipl time emailed also. they r saying they r not responsible fr payments maid to driver. I shared the screenshots. 900 charges of late payment applied now. worst experience frm such a big cmpny. humiliated ??,1,2026-03-30 00:00:00,244
Ola,very good,3,2026-03-30 00:00:00,214
Ola,xcilent,5,2026-03-30 00:00:00,160
Ola,most of the people are giving 1 star rating and they are showing approximately 4.6star ratings,1,2026-03-30 00:00:00,158
Ola,behiviour is good,4,2026-03-30 00:00:00,265
Ola,worst app ever????????. Worst management,1,2026-03-30 00:00:00,71
Ola,nice ??,5,2026-03-30 00:00:00,225
Ola,price overrated,4,2026-03-30 00:00:00,100
Ola,"Received a promotional offer which I applied while booking a cab. During booking, it said coupon applied, but full amount deducted post the ride. When raised the same to their customer support, chatbot says the coupon was not applied and not able to take it forward with the actual customer care representative. Really poor experience.",1,2026-03-30 00:00:00,73
Ola,ola matlab ride confirm,5,2026-03-30 00:00:00,182
Ola,nice ride,5,2026-03-30 00:00:00,294
Ola,excellent,5,2026-03-30 00:00:00,234
Ola,good service,5,2026-03-30 00:00:00,241
Ola,Rate seems to be little higher than other cab. cancellation option should not be given to Driver,5,2026-03-30 00:00:00,230
Ola,nice picup and valuable,5,2026-03-30 00:00:00,178
Ola,Ola Is Best Service providers in Cab services,5,2026-03-30 00:00:00,82
Ola,all driver demand extra money,1,2026-03-30 00:00:00,260
Ola,1) Erratic rates. Shows lesser rate before booking. Shows higher rate after booking. 2) Drivers are frequently cancelling the trips / fail to report at pick up point . Does Ola have any mechanism to address this issue? Edit 3) Worst service. Drivers are the worst and Ola cannot control them. I am uninstalling the app now.,1,2026-03-30 00:00:00,163
Ola,good ??????,5,2026-03-30 00:00:00,143
Ola,Pan mohammad,5,2026-03-30 00:00:00,95
Ola,very nice experience,5,2026-03-30 00:00:00,246
Ola,"very Bad Services, today it wasted my valuable 35 minutes, Firstly i try to book a ride through this app, it took around 5to 7 minutes searching for available driver but then message pop up try again. I tried another time, again same, so last time I tried with change my destination, this time ride book but bike showing bike is coming within 8 minutes, when 1 minute left again it updated and 8 minute remaining, when finally it shows bike at location, suddenly it cancelled my ride. totally waste",1,2026-03-30 00:00:00,211
Ola,very bad ?? ola,1,2026-03-30 00:00:00,151
Ola,worst app. charges prepaid and when rider arrives he wants me to cancel it. and no support assistance provided from ola side also. worst worst worst,1,2026-03-30 00:00:00,256
Ola,Good app.,5,2026-03-30 00:00:00,186
Ola,waste of time on this app waiting for drivers they just cancel for because of lesser amount ashame if theyre cancelling no issue if customer cancels create issues im done with this ola and drivers are more useless and ola helpline of solving is more useless i dont want to give one star also,1,2026-03-30 00:00:00,163
Ola,worst app waiting from 1 hr,1,2026-03-30 00:00:00,107
